"run.id","date","spectrum.id","sample.id","anatomical.part","panel"
202103050900,"05/03/2021","202103050900_2H1","METF2_0005987","head","reference"
202103050900,"05/03/2021","202103050900_2H2","METF2_0005987","head","reference"
202103050900,"05/03/2021","202103050900_2H3","METF2_0005987","head","reference"
202103050900,"05/03/2021","202103050900_2H4","METF2_0005987","head","reference"
202103050900,"05/03/2021","202103050900_2I1","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2I2","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2I3","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2I4","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2J1","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2J2","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2J3","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2J4","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2K1","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2K2","METF2_0006000","head","reference"
202103050900,"05/03/2021","202103050900_2K3","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_2K4","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_2L1","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_2L2","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_2L3","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_2L4","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_3A1","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_3A2","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_3A3","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_3A4","METF2_0006013","head","reference"
202103050900,"05/03/2021","202103050900_3B1","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3B2","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3B3","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3B4","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3C1","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3C2","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3C3","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3C4","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3D1","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3D2","METF2_0006029","head","reference"
202103050900,"05/03/2021","202103050900_3D3","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3D4","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3E1","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3E2","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3E3","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3E4","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3F1","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3F2","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3F3","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3F4","METF2_0008953","head","reference"
202103050900,"05/03/2021","202103050900_3G1","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3G2","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3G3","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3G4","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3H1","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3H2","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3H3","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3I1","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3I2","METF2_0008961","head","reference"
202103050900,"05/03/2021","202103050900_3I3","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3I4","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3J1","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3J2","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3J3","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3J4","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3K1","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3K2","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3K3","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3K4","METF2_0009002","head","reference"
202103050900,"05/03/2021","202103050900_3L1","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_3L2","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_3L3","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_3L4","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_4A1","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_4A2","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_4A3","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_4A4","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_4B1","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_4B2","METF2_0009007","head","reference"
202103050900,"05/03/2021","202103050900_4B3","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4B4","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4C1","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4C2","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4C3","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4C4","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4D1","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4D2","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4D3","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4D4","METF2_0009012","head","reference"
202103050900,"05/03/2021","202103050900_4E1","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4E2","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4E3","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4E4","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4F1","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4F2","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4F3","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4F4","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4G1","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4G2","METF2_0009072","head","reference"
202103050900,"05/03/2021","202103050900_4G3","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4G4","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4H1","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4H2","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4H3","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4H4","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4I1","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4I2","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4I3","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4I4","METF2_0013831","head","reference"
202103050900,"05/03/2021","202103050900_4J1","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4J2","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4J3","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4J4","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4K1","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4K2","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4K3","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4K4","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4L1","METF2_0013985","head","reference"
202103050900,"05/03/2021","202103050900_4L2","METF2_0013985","head","reference"
202103080900,"08/03/2021","202103080900_1A1","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1A2","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1A3","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1A4","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1B1","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1B2","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1B3","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1B4","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1C1","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1C2","METF2_0005805","head","reference"
202103080900,"08/03/2021","202103080900_1C3","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1C4","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1D1","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1D2","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1D3","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1D4","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1E1","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1E2","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1E3","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1E4","METF2_0005821","head","reference"
202103080900,"08/03/2021","202103080900_1F1","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1F2","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1F3","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1F4","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1G1","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1G2","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1G3","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1G4","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1H1","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1H2","METF2_0005832","head","reference"
202103080900,"08/03/2021","202103080900_1H3","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1H4","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1I1","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1I2","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1I3","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1I4","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1J1","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1J2","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1J3","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1J4","METF2_0005841","head","reference"
202103080900,"08/03/2021","202103080900_1K1","METF2_0005842","head","reference"
202103080900,"08/03/2021","202103080900_1K2","METF2_0005842","head","reference"
